ds,yhat,yhat_lower,yhat_upper
2023-03-25,39353.02689486589,11512.488925272155,69049.03069451073
2023-03-26,34738.13558961784,7042.825273157897,62412.95540642571
2023-03-27,32245.167329058884,4001.13596375035,61001.335735558656
2023-03-28,29806.252480338368,663.9470750183115,59091.94115765241
2023-03-29,27589.81936915961,-860.2530500639468,56712.273053284895
2023-03-30,23496.581788500494,-5337.316174458303,50433.74082983762
2023-03-31,19556.47201306469,-8144.249096712294,47155.755150313955
2023-04-01,17540.461368940014,-8889.718127023469,47138.66845740384
2023-04-02,13871.86547777864,-15314.365508966868,42038.04045620649
2023-04-03,12618.97025988908,-15288.53372313797,43106.32271650296
2023-04-04,11679.881930830987,-17425.67346457396,38923.86262935265
2023-04-05,11184.559838589637,-17303.20467558891,38124.75779237659
2023-04-06,8991.755688210167,-19211.181445504753,37219.23558384997
2023-04-07,7086.958781143253,-21271.23710813855,40136.69035009528
2023-04-08,7195.264072079678,-19885.582533969766,35333.66249701533
2023-04-09,5693.734434993426,-24452.41773394801,34578.55524126466
2023-04-10,6605.067926900313,-21464.427519658057,37453.85670816468
2023-04-11,7783.4486166430615,-22550.03739077342,35391.749303448894
2023-04-12,9317.516824428762,-19042.409677147076,36108.288866437295
2023-04-13,9028.16127369141,-19285.860543592767,38264.83098080587
2023-04-14,8867.21426967402,-21217.057167569008,36611.24016423828
2023-04-15,10530.95113181611,-18610.407045634136,40328.861833659656
2023-04-16,10372.952964642545,-18298.280837684644,36812.57698648421
2023-04-17,12398.134760180359,-16020.614436886302,39340.751411224344
2023-04-18,14448.812261261235,-14552.956735747422,43030.13640215994
2023-04-19,16607.742001048522,-11258.621820129041,45654.19392101553
2023-04-20,16695.83924931445,-13851.838572241157,46244.960602934065
2023-04-21,16670.660728351537,-12104.080231760137,45551.198262347396
2023-04-22,18239.562363194247,-10484.500223480663,47913.08577451654
2023-04-23,17772.10317012793,-10196.267081073207,48791.55738969282
2023-04-24,19293.51188985637,-8731.775072070508,48905.81342722308
2023-04-25,20670.10661382659,-6798.606631658491,48490.53932996004
2023-04-26,22011.62021379856,-6537.32391343625,51345.68788272894
2023-04-27,21168.15600322652,-6472.698576124315,49600.51539133445
2023-04-28,20127.880718309083,-7781.194988952232,49729.0765585382
2023-04-29,20629.38544525091,-7322.141739481723,50935.63722790101
2023-04-30,19073.305522964685,-9826.7333123154,48063.7657627075
2023-05-01,19515.035030761588,-10183.8183404129,49330.064568153895
2023-05-02,19849.443680462027,-7968.276096207513,47381.47604854972
2023-05-03,20212.564794742673,-6769.266661950346,50567.57183540549
2023-05-04,18477.992376788246,-9883.39592250293,47984.21098403618
2023-05-05,16654.105596653822,-13886.024721295958,44189.70416863066
2023-05-06,16496.059860158883,-13582.040550268743,45415.30550490008
2023-05-07,14417.141241749147,-13609.409748138947,40730.68172154758
2023-05-08,14481.32279088353,-12726.00990216776,44121.30330771088
2023-05-09,14587.93059675389,-11393.775798834815,44132.95229311561
2023-05-10,14873.385618182669,-13253.02044101227,44223.528190962425
2023-05-11,13207.754030941856,-15876.08283750207,41732.39329548328
2023-05-12,11592.216814785563,-14992.67770596948,40338.612940295
